===============================================================================
EXTENSION NAME : linecount
EXTENSION VERSION : 0.1.7
-------------------------------------------------------------------------------
count time : 2023-06-01 14:50:38
count workspace : c:\Skillbox.Projs\pomodoro\react-ssr
total files : 188
total code lines : 24839
total comment lines : 2279
total blank lines : 2189

.eslintrc.js, code is 27, comment is 0, blank is 2.
src\icons\ShareIcon.tsx, code is 10, comment is 0, blank is 2.
src\icons\ThreeDotsIcon.tsx, code is 17, comment is 0, blank is 2.
src\icons\TransparencyIcon.tsx, code is 9, comment is 0, blank is 2.
src\main.global.css, code is 53, comment is 0, blank is 7.
src\redux.store\actions.ts, code is 4, comment is 0, blank is 0.
src\redux.store\loadPostsChunk.ts, code is 34, comment is 0, blank is 6.
src\redux.store\postsSlice.ts, code is 79, comment is 0, blank is 17.
src\redux.store\rootStore.ts, code is 14, comment is 0, blank is 3.
src\redux.store\saveToken.ts, code is 23, comment is 0, blank is 8.
src\redux.store\storeStatus.ts, code is 6, comment is 0, blank is 0.
src\redux.store\tokenSlice.ts, code is 24, comment is 0, blank is 8.
src\server\indexTemplate.js, code is 19, comment is 0, blank is 3.
src\server\server.js, code is 30, comment is 1, blank is 6.
src\shared\CardsList\Card\card.css, code is 38, comment is 0, blank is 2.
src\shared\CardsList\Card\Card.tsx, code is 26, comment is 0, blank is 5.
src\shared\CardsList\Card\Controls\Actions\actions.css, code is 26, comment is 0, blank is 6.
src\shared\CardsList\Card\Controls\Actions\index.tsx, code is 18, comment is 0, blank is 1.
src\shared\CardsList\Card\Controls\CommentsNumber\commentsnumber.css, code is 17, comment is 0, blank is 2.
src\shared\CardsList\Card\Controls\CommentsNumber\index.tsx, code is 12, comment is 0, blank is 1.
src\shared\CardsList\Card\Controls\controls.css, code is 14, comment is 0, blank is 1.
src\shared\CardsList\Card\Controls\Controls.tsx, code is 14, comment is 0, blank is 1.
src\shared\CardsList\Card\Controls\index.ts, code is 1, comment is 0, blank is 0.
src\shared\CardsList\Card\Controls\KarmaCounter\index.tsx, code is 19, comment is 0, blank is 1.
src\shared\CardsList\Card\Controls\KarmaCounter\karmacounter.css, code is 38, comment is 0, blank is 7.
src\shared\CardsList\Card\index.ts, code is 1, comment is 0, blank is 0.
src\shared\CardsList\Card\Preview\index.tsx, code is 23, comment is 0, blank is 5.
src\shared\CardsList\Card\Preview\preview.css, code is 26, comment is 0, blank is 3.
src\shared\CardsList\Card\TextContent\index.ts, code is 1, comment is 0, blank is 0.
src\shared\CardsList\Card\TextContent\Menu\ActionKindEnum.ts, code is 10, comment is 0, blank is 1.
src\shared\CardsList\Card\TextContent\Menu\HorizMenuTemplate.tsx, code is 14, comment is 0, blank is 4.
src\shared\CardsList\Card\TextContent\Menu\index.ts, code is 1, comment is 0, blank is 0.
src\shared\CardsList\Card\TextContent\Menu\menu.css, code is 122, comment is 0, blank is 21.
src\shared\CardsList\Card\TextContent\Menu\Menu.tsx, code is 69, comment is 0, blank is 10.
src\shared\CardsList\Card\TextContent\Menu\MenuButton.tsx, code is 10, comment is 0, blank is 1.
src\shared\CardsList\Card\TextContent\Menu\SeparatorItemTemplate.tsx, code is 14, comment is 0, blank is 4.
src\shared\CardsList\Card\TextContent\Menu\VertMenuTemplate.tsx, code is 30, comment is 1, blank is 6.
src\shared\CardsList\Card\TextContent\MetaData\index.tsx, code is 38, comment is 1, blank is 4.
src\shared\CardsList\Card\TextContent\MetaData\metadata.css, code is 56, comment is 0, blank is 10.
src\shared\CardsList\Card\TextContent\textcontent.css, code is 33, comment is 0, blank is 4.
src\shared\CardsList\Card\TextContent\TextContent.tsx, code is 23, comment is 0, blank is 3.
src\shared\CardsList\Card\TextContent\Title\index.tsx, code is 29, comment is 0, blank is 5.
src\shared\CardsList\Card\TextContent\Title\title.css, code is 26, comment is 0, blank is 4.
src\shared\CardsList\cardslist.css, code is 45, comment is 0, blank is 5.
src\shared\CardsList\CardsListComponent.tsx, code is 77, comment is 0, blank is 11.
src\shared\CardsList\CardsListContainer.tsx, code is 36, comment is 0, blank is 9.
src\shared\CardsList\index.ts, code is 1, comment is 0, blank is 0.
src\shared\CardsList\LoadMoreButton.tsx, code is 19, comment is 0, blank is 2.
src\shared\CommentsTree\CommentForm\AuthorInfo\authorinfo.css, code is 56, comment is 0, blank is 10.
src\shared\CommentsTree\CommentForm\AuthorInfo\index.tsx, code is 38, comment is 1, blank is 5.
src\shared\CommentsTree\CommentForm\commentform.css, code is 89, comment is 0, blank is 13.
src\shared\CommentsTree\CommentForm\index.tsx, code is 53, comment is 0, blank is 6.
src\shared\CommentsTree\CommentForm\ReplyButton.tsx, code is 20, comment is 0, blank is 2.
src\shared\CommentsTree\CommentForm\ReplyForm.tsx, code is 18, comment is 0, blank is 3.
src\shared\CommentsTree\CommentForm\ReplyInput.tsx, code is 95, comment is 0, blank is 14.
src\shared\CommentsTree\CommentsTreeNode.tsx, code is 33, comment is 0, blank is 8.
src\shared\CommentsTree\commenttree.css, code is 5, comment is 0, blank is 0.
src\shared\CommentsTree\index.tsx, code is 15, comment is 0, blank is 3.
src\shared\Content\content.css, code is 9, comment is 0, blank is 1.
src\shared\Content\index.tsx, code is 12, comment is 0, blank is 2.
src\shared\Header\header.css, code is 13, comment is 0, blank is 1.
src\shared\Header\Header.tsx, code is 14, comment is 0, blank is 1.
src\shared\Header\index.ts, code is 1, comment is 0, blank is 0.
src\shared\Header\SearchBlock\index.tsx, code is 12, comment is 0, blank is 2.
src\shared\Header\SearchBlock\searchblock.css, code is 21, comment is 0, blank is 1.
src\shared\Header\SearchBlock\UserBlock\index.tsx, code is 31, comment is 0, blank is 3.
src\shared\Header\SearchBlock\UserBlock\userblock.css, code is 33, comment is 0, blank is 6.
src\shared\Header\SortBlock\index.tsx, code is 9, comment is 0, blank is 1.
src\shared\Header\SortBlock\sortblock.css, code is 14, comment is 0, blank is 1.
src\shared\Header\ThreadTitle\index.tsx, code is 7, comment is 0, blank is 1.
src\shared\Header\ThreadTitle\threadtitle.css, code is 15, comment is 0, blank is 1.
src\shared\Layout\index.tsx, code is 12, comment is 0, blank is 2.
src\shared\Layout\layout.css, code is 4, comment is 0, blank is 0.
src\shared\Modals\MessageModal\index.tsx, code is 35, comment is 0, blank is 4.
src\shared\Modals\MessageModal\messagemodal.css, code is 44, comment is 0, blank is 5.
src\shared\Modals\PostsModal\Card\card.css, code is 18, comment is 0, blank is 2.
src\shared\Modals\PostsModal\Card\Card.tsx, code is 14, comment is 0, blank is 2.
src\shared\Modals\PostsModal\Card\index.ts, code is 1, comment is 0, blank is 0.
src\shared\Modals\PostsModal\Card\TextContent\index.ts, code is 1, comment is 0, blank is 0.
